Filter ID,Metric Category,Metric Name,Veneto Institute of Oncology,Cardiff University,King's College London,NCT Dresden,Qurit SERA,UPenn,LIFEx,UdeS
2.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,-46.408,-46.407887,-46.407845,,,-46.4079
2.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,377,377,377,,,377
2.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,-997,-997,-997,,,-997
2.B,Statistics,Mean,-49.89275738,-49.8929,-49.893,-49.89299,-49.89298981,,,-49.893
2.B,Statistics,Variance,44392.52034,44392.7319,44392.737,44392.727,44392.72675,,,44392.7267
2.B,Statistics,Skewness,-2.128618219,-2.1286,-2.129,-2.12861413987223,-2.128614283,,,-2.1286
2.B,Statistics,(Excess) kurtosis,3.586284605,3.5863,3.586,3.58625547768484,3.586256176,,,3.586
2.B,Statistics,Median,37.336,37.336,37.336,37.336,37.33599854,,,37.336
2.B,Statistics,Minimum,-905.832,-906.176,-906.176,-906.176,-906.1760254,,,-906.176
2.B,Statistics,10th percentile,-389.32,-389.3224,-389.322,-389.31520690918,-389.322406,,,-389.315
2.B,Statistics,90th percentile,77.248,77.248,77.248,77.2480010986328,77.2480011,,,77.248
2.B,Statistics,Maximum,316.312,316.312,316.312,316.312,316.3120117,,,316.312
2.B,Statistics,Interquartile range,92.584,92.584,92.584,92.5839977264404,92.58399773,,,92.584
2.B,Statistics,Range,1222.144,1222.488,1222.488,1222.488,1222.488037,,,1222.488
2.B,Statistics,Mean absolute deviation,149.3417257,149.342,149.342,149.342,149.342002,,,149.342
2.B,Statistics,Robust mean absolute deviation,68.13491604,68.1348,68.134,68.13209,68.13395572,,,68.1332
2.B,Statistics,Median absolute deviation,113.8106817,113.8109,113.811,113.810875,113.8108797,,,113.811
2.B,Statistics,Coefficient of variation,-4.222964152,-4.223,-4.223,-4.2229543,-4.222954297,,,-4.223
2.B,Statistics,Quartile coefficient of dispersion,2.972771641,2.9728,2.973,2.97277165433898,2.972771654,,,2.973
2.B,Statistics,Energy,16774404516,16774486988.6725,16774488909.276,16774488000,16800000000,,,16774486663.150084
2.B,Statistics,Root mean square,216.5220718,216.5226,216.523,216.522611022902,216.522602,,,216.5226
3.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,
3.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,,125238,125238,,,
3.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,,-46.97564,-46.975639,,,
3.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,
3.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,,-1000,-1000,,,
3.A,Statistics,Mean,-2.440828532,-2.4409,,-2.42342669122262,-2.423426768,,,
3.A,Statistics,Variance,555.6834357,555.6829,,555.694304062625,555.6943428,,,
3.A,Statistics,Skewness,0.295290381,0.2953,,0.302421044303604,0.30242104,,,
3.A,Statistics,(Excess) kurtosis,7.016054432,7.0161,,7.01647959269611,7.016479484,,,
3.A,Statistics,Median,-0.584889991,-0.58489,,-0.594275906588928,-0.594282001,,,
3.A,Statistics,Minimum,-178.050192,-178.0502,,-177.931402545937,-177.9314117,,,
3.A,Statistics,10th percentile,-27.1028018,-27.102,,-27.0456084623803,-27.04697704,,,
3.A,Statistics,90th percentile,13.23564633,13.2345,,13.3378009367678,13.33787775,,,
3.A,Statistics,Maximum,190.6672801,190.6673,,190.725970944352,190.7259827,,,
3.A,Statistics,Interquartile range,8.744062977,8.7437,,8.73834168899636,8.738582134,,,
3.A,Statistics,Range,368.7174721,368.7175,,368.657373490289,368.6573944,,,
3.A,Statistics,Mean absolute deviation,13.15075255,13.1507,,13.1442765559711,13.14427703,,,
3.A,Statistics,Robust mean absolute deviation,4.977163305,4.9768,,4.97081263861283,4.970812832,,,
3.A,Statistics,Median absolute deviation,12.9032334,12.9032,,12.9032020548582,12.90320253,,,
3.A,Statistics,Coefficient of variation,-9.657761011,-9.6576,,-9.72720538297709,-9.727205416,,,
3.A,Statistics,Quartile coefficient of dispersion,-2.931071783,-2.9306,,-2.92209970182417,-2.922195173,,,
3.A,Statistics,Energy,70338805.53,70338761.7462,,70329565.6414301,70329570.54,,,
3.A,Statistics,Root mean square,23.6989679,23.699,,23.6974112719165,23.6974121,,,
3.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,125256
3.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802,,,357802
3.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,,-46.407887,-46.407845,,,-46.4079
3.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,377
3.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997,,,-997
3.B,Statistics,Mean,-2.941989768,-2.9424,,-2.92403083468672,-2.924030773,,,-2.9423
3.B,Statistics,Variance,719.6785509,719.7031,,719.824617648252,719.824613,,,719.658
3.B,Statistics,Skewness,0.422253989,0.42212,,0.428117392531823,0.428117373,,,0.422
3.B,Statistics,(Excess) kurtosis,6.133237964,6.1333,,6.13288525225677,6.132885159,,,6.133
3.B,Statistics,Median,-0.919226962,-0.9193,,-0.926855156820047,-0.926865697,,,-0.9193
3.B,Statistics,Minimum,-172.9069655,-172.907,,-172.778984031375,-172.7789764,,,-172.902
3.B,Statistics,10th percentile,-32.15648319,-32.1572,,-32.1093618156024,-32.1096489,,,-32.1556
3.B,Statistics,90th percentile,17.39181793,17.3913,,17.4894338714432,17.48949814,,,17.3904
3.B,Statistics,Maximum,204.2998042,204.2998,,204.301156621835,204.3011475,,,204.2926
3.B,Statistics,Interquartile range,11.44599886,11.4459,,11.4281478897314,11.42827582,,,11.4456
3.B,Statistics,Range,377.2067697,377.2068,,377.080140653209,377.0801239,,,377.195
3.B,Statistics,Mean absolute deviation,15.49636859,15.4966,,15.4910500749187,15.49104993,,,15.496
3.B,Statistics,Robust mean absolute deviation,6.368737664,6.3688,,6.36189729947508,6.362034275,,,6.368
3.B,Statistics,Median absolute deviation,15.26049334,15.2607,,15.2609829705032,15.26098279,,,15.26
3.B,Statistics,Coefficient of variation,-9.118599087,-9.1175,,-9.17553507149068,-9.175535235,,,-9.1175
3.B,Statistics,Quartile coefficient of dispersion,-2.338985284,-2.3389,,-2.33637477846508,-2.336369195,,,-2.3389
3.B,Statistics,Energy,260599309.9,260608959.4237,,260613879.315775,260613877.5,,,260592643.844
3.B,Statistics,Root mean square,26.98766116,26.9882,,26.9884155513148,26.98841546,,,26.9873
4.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,125256,,
4.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,,125238,125238,125237,,
4.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,,-46.97564,-46.975639,-46.96803,,
4.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,377,,
4.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,,-1000,-1000,-970,,
4.A,Statistics,Mean,148.2584965,148.258,,148.258,148.2579856,147.57199,,
4.A,Statistics,Variance,17953.85665,17953.6433,,17953.643,17953.64325,10468.735,,
4.A,Statistics,Skewness,0.877056194,0.87706,,0.877055115544125,0.877055259,0.654859413,,
4.A,Statistics,(Excess) kurtosis,-0.278790332,-0.27877,,-0.278771453450202,-0.278771387,-0.236762671,,
4.A,Statistics,Median,88.71640905,88.7164,,88.71641,88.71640778,136.30032,,
4.A,Statistics,Minimum,15.45202758,15.452,,15.452027,15.45202732,23.274067,,
4.A,Statistics,10th percentile,26.8768017,26.877,,26.8771549224854,26.87695351,29.91450996,,
4.A,Statistics,90th percentile,346.9715542,346.961,,346.959921264649,346.9610168,289.0699585,,
4.A,Statistics,Maximum,672.2096473,672.2096,,672.20966,672.2096558,538.5091,,
4.A,Statistics,Interquartile range,219.2627343,219.2627,,219.260135650635,219.2627258,169.5374489,,
4.A,Statistics,Range,656.7576197,656.7576,,656.7576,656.7576284,515.2350273,,
4.A,Statistics,Mean absolute deviation,116.0731378,116.0725,,116.07253,116.0725382,85.71643,,
4.A,Statistics,Robust mean absolute deviation,92.89377982,92.892,,92.89201,92.8920114,66.59835,,
4.A,Statistics,Median absolute deviation,110.7338835,110.7334,,110.73338,110.7333727,85.34243,,
4.A,Statistics,Coefficient of variation,0.903772838,0.90377,,0.90377057,0.903770581,0.6933351,,
4.A,Statistics,Quartile coefficient of dispersion,0.77304736,0.77305,,0.773045275169196,0.773047348,0.637427143,,
4.A,Statistics,Energy,5001309200,5001263503.7244,,5001263600,5001263503,4038421200,,
4.A,Statistics,Root mean square,199.8360289,199.8351,,199.835118160564,199.8351159,179.57236,,
4.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,125256
4.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802,,,357802
4.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,,-46.407887,-46.407845,,,-46.4079
4.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,377
4.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997,,,-997
4.B,Statistics,Mean,141.822426,141.8281,,141.82814,141.8281313,,,141.8281
4.B,Statistics,Variance,11116.99477,11118.6441,,11118.636,11118.6353,,,11118.635
4.B,Statistics,Skewness,0.644449835,0.64454,,0.644541004799495,0.644541075,,,0.64454
4.B,Statistics,(Excess) kurtosis,-0.710924916,-0.71068,,-0.710681742104918,-0.710681933,,,-0.710682
4.B,Statistics,Median,113.1405898,113.1406,,113.14046,113.140461,,,113.14
4.B,Statistics,Minimum,28.46269247,28.4627,,28.462692,28.46269226,,,28.46269
4.B,Statistics,10th percentile,35.570524,35.5705,,35.5705596923828,35.57054176,,,35.57056
4.B,Statistics,90th percentile,292.6082612,292.625,,292.624209594727,292.6247314,,,292.624
4.B,Statistics,Maximum,524.6400168,524.8027,,524.80304,524.8030396,,,524.803
4.B,Statistics,Interquartile range,187.6421514,187.6549,,187.655222892761,187.6554031,,,187.6552
4.B,Statistics,Range,496.1773243,496.34,,496.34033,496.3403473,,,496.34
4.B,Statistics,Mean absolute deviation,92.44274497,92.4488,,92.44878,92.44877055,,,92.44877
4.B,Statistics,Robust mean absolute deviation,75.91634238,75.9203,,75.91987,75.92025977,,,75.91987
4.B,Statistics,Median absolute deviation,90.80811596,90.8137,,90.813705,90.81370076,,,90.8137
4.B,Statistics,Coefficient of variation,0.743444907,0.74347,,0.7434698,0.743469851,,,0.74347
4.B,Statistics,Quartile coefficient of dispersion,0.699243129,0.69926,,0.699258438182395,0.699259043,,,0.6992
4.B,Statistics,Energy,11174369460,11175537257.8891,,11175536000,11175535475,,,11175535481.688
4.B,Statistics,Root mean square,176.721802,176.731,,176.731023091286,176.731022,,,176.731
5.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,125256,,
5.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,,125238,125238,125237,,
5.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,,-46.97564,-46.975639,-46.96803,,
5.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,377,,
5.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,,-1000,-1000,-970,,
5.A,Statistics,Mean,102.9944691,102.9942,,102.994211542044,102.9942167,166.24176,,
5.A,Statistics,Variance,1036.246193,1036.2306,,1036.23062116286,1036.230639,4327.807,,
5.A,Statistics,Skewness,1.313975435,1.314,,1.31400576563261,1.314005176,0.97601835,,
5.A,Statistics,(Excess) kurtosis,2.841486958,2.8417,,2.84167385872019,2.841668983,0.641927134,,
5.A,Statistics,Median,97.03680815,97.0368,,97.0368084846962,97.03680801,149.03426,,
5.A,Statistics,Minimum,31.37248216,31.3725,,31.3722154572609,31.3724823,56.452175,,
5.A,Statistics,10th percentile,68.80185376,68.8025,,68.8035074556612,68.80251617,97.26826477,,
5.A,Statistics,90th percentile,144.5666157,144.5656,,144.56509234743,144.5655548,259.9196167,,
5.A,Statistics,Maximum,353.6986176,353.6986,,353.698901983257,353.6986084,589.5631,,
5.A,Statistics,Interquartile range,37.18099448,37.1797,,37.1784194690878,37.17965698,95.14873505,,
5.A,Statistics,Range,322.3261355,322.3261,,322.326686525997,322.3261261,533.1109352,,
5.A,Statistics,Mean absolute deviation,24.20687237,24.2066,,24.2065753245391,24.20657763,53.85845,,
5.A,Statistics,Robust mean absolute deviation,15.75844994,15.7577,,15.7577034871259,15.75770608,39.457027,,
5.A,Statistics,Median absolute deviation,23.70192578,23.7017,,23.7016711080515,23.70167295,52.472534,,
5.A,Statistics,Coefficient of variation,0.312548609,0.31255,,0.312547042430821,0.312547029,0.3957253,,
5.A,Statistics,Quartile coefficient of dispersion,0.186865607,0.18686,,0.186853727796881,0.186860143,0.296347515,,
5.A,Statistics,Energy,1458284654,1458276196.0012,,1458276060.14057,1458276196,4003092000,,
5.A,Statistics,Root mean square,107.9078628,107.9075,,107.907544835059,107.9075499,178.78516,,
5.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,125256
5.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802,,,357802
5.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,,-46.407887,-46.407845,,,-46.4079
5.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,377
5.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997,,,-997
5.B,Statistics,Mean,40.24493774,40.238,,40.2379061328691,40.23790556,,,40.2375
5.B,Statistics,Variance,230.7143423,230.5171,,230.521244326314,230.5213394,,,230.498
5.B,Statistics,Skewness,1.574136665,1.5747,,1.57457523293936,1.574576066,,,1.574
5.B,Statistics,(Excess) kurtosis,4.331732025,4.3381,,4.33728234741662,4.337286103,,,4.3346
5.B,Statistics,Median,37.19581254,37.1906,,37.1903902363803,37.19031906,,,37.19
5.B,Statistics,Minimum,9.534713695,9.5347,,9.53462637146995,9.534822464,,,9.5346
5.B,Statistics,10th percentile,24.62849015,24.6268,,24.6281854331386,24.62789135,,,24.628
5.B,Statistics,90th percentile,59.29975581,59.2865,,59.2869913460311,59.28724098,,,59.2853
5.B,Statistics,Maximum,174.421883,174.5456,,174.545232975107,174.5454712,,,174.545
5.B,Statistics,Interquartile range,17.36024161,17.3512,,17.3512863502739,17.35135651,,,17.3507
5.B,Statistics,Range,164.8871693,165.0108,,165.010606603637,165.0106487,,,165.010667
5.B,Statistics,Mean absolute deviation,11.2821161,11.2768,,11.2769754620893,11.27697783,,,11.277
5.B,Statistics,Robust mean absolute deviation,7.312088321,7.3085,,7.30862617435401,7.30870055,,,7.3084
5.B,Statistics,Median absolute deviation,10.99801995,10.993,,10.9931693376752,10.99317127,,,10.9928
5.B,Statistics,Coefficient of variation,0.377420979,0.37732,,0.37732893031412,0.377329013,,,0.377
5.B,Statistics,Quartile coefficient of dispersion,0.225601112,0.22552,,0.225522272371446,0.225522553,,,0.2255
5.B,Statistics,Energy,662065856.2,661795674.5238,,661794276.827448,661794294.4,,,661773541.0115728
5.B,Statistics,Root mean square,43.01591979,43.0071,,43.0070963247218,43.0070969,,,43.00642
6.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,
6.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,,125238,125238,,,
6.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,,-46.97564,-46.975639,,,
6.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,
6.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,,-1000,-1000,,,
6.A,Statistics,Mean,-0.185343074,-0.18505,,-0.18504779,-0.185047771,,,
6.A,Statistics,Variance,427.2981837,427.2793,,427.2793,427.2793071,,,
6.A,Statistics,Skewness,0.083617313,0.083694,,0.0836939768380343,0.083693899,,,
6.A,Statistics,(Excess) kurtosis,7.721159968,7.7218,,7.72181806721068,7.721820582,,,
6.A,Statistics,Median,0.045594447,0.045594,,0.045594454,0.045594446,,,
6.A,Statistics,Minimum,-245.1464023,-245.1464,,-245.1464,-245.1464081,,,
6.A,Statistics,10th percentile,-18.8453308,-18.8451,,-18.8450517654419,-18.84512424,,,
6.A,Statistics,90th percentile,17.71751361,17.7175,,17.7174289703369,17.71747856,,,
6.A,Statistics,Maximum,201.6357755,201.6358,,201.63577,201.6357727,,,
6.A,Statistics,Interquartile range,15.77069163,15.7707,,15.7703542709351,15.77069139,,,
6.A,Statistics,Range,446.7821778,446.7822,,446.78217,446.7821808,,,
6.A,Statistics,Mean absolute deviation,13.03043543,13.0301,,13.030135,13.03013528,,,
6.A,Statistics,Robust mean absolute deviation,6.81546124,6.8152,,6.8151793,6.815180123,,,
6.A,Statistics,Median absolute deviation,13.02854647,13.0283,,13.028252,13.02825117,,,
6.A,Statistics,Coefficient of variation,-111.5293479,-111.7049,,-111.70484,-111.7048608,,,
6.A,Statistics,Quartile coefficient of dispersion,491.1042602,491.1043,,490.975260349013,491.1060509,,,
6.A,Statistics,Energy,53518272.11,53515894.2896,,53515892,53515894.34,,,
6.A,Statistics,Root mean square,20.67202302,20.6716,,20.6715633428366,20.6715638,,,
6.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256,,,125256
6.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802,,,357802
6.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,,-46.407887,-46.407845,,,-46.4079
6.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377,,,377
6.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997,,,-997
6.B,Statistics,Mean,-0.182103753,-0.18203,,-0.18203402,-0.182034018,,,-0.182
6.B,Statistics,Variance,250.4418451,250.4417,,250.44107,250.4410653,,,250.441
6.B,Statistics,Skewness,0.156586008,0.15687,,0.156871078654632,0.15687096,,,0.15687
6.B,Statistics,(Excess) kurtosis,8.98187515,8.9814,,8.98139703906639,8.981394911,,,8.98139
6.B,Statistics,Median,0.057541837,0.05756,,0.057540063,0.057540063,,,0.0575
6.B,Statistics,Minimum,-147.5236919,-147.5237,,-147.5237,-147.5236969,,,-147.52369
6.B,Statistics,10th percentile,-13.78133463,-13.7818,,-13.7812477111816,-13.78169861,,,-13.781
6.B,Statistics,90th percentile,12.15004107,12.1497,,12.149946975708,12.14997654,,,12.1499
6.B,Statistics,Maximum,155.004999,155.005,,155.005,155.0050049,,,155.005
6.B,Statistics,Interquartile range,9.349108501,9.3491,,9.34877157211304,9.348784447,,,9.3487
6.B,Statistics,Range,302.5286909,302.5287,,302.5287,302.5287018,,,302.529
6.B,Statistics,Mean absolute deviation,9.25785231,9.2578,,9.25779,9.257789721,,,9.25779
6.B,Statistics,Robust mean absolute deviation,4.212607708,4.2126,,4.2125316,4.212592469,,,4.2125
6.B,Statistics,Median absolute deviation,9.254337935,9.2543,,9.254276,9.254276055,,,9.25427
6.B,Statistics,Coefficient of variation,-86.90295658,-86.936,,-86.93611,-86.93611264,,,-86.9361
6.B,Statistics,Quartile coefficient of dispersion,-161.5585252,-161.8128,,-162.730702191235,-162.7309263,,,-162.7282
6.B,Statistics,Energy,89620458.4,89620394.7781,,89620184,89620170.32,,,89620170.21979544
6.B,Statistics,Root mean square,15.82640221,15.8264,,15.8263779792712,15.82637677,,,15.82637676
7.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256,,,
7.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238,,,
7.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.97564,-46.975639,,,
7.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377,,,
7.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000,,,
7.A,Statistics,Mean,0.244178604,,,0.24465297,0.24465294,,,
