Filter ID,Metric Category,Metric Name,LIFEx,UdeS,Veneto Institute of Oncology - IOV IRCCS Padua,Cardiff University,NCT Dresden
2.A,Statistics,Robust mean absolute deviation,,,67.73782973,67.7297,67.7294
2.A,Statistics,Median absolute deviation,,,115.8281544,115.8276,115.82763
2.A,Statistics,Coefficient of variation,,,-4.328393441,-4.3284,-4.328437
2.A,Statistics,Quartile coefficient of dispersion,,,1.850180505,1.8502,1.84953758788613
2.A,Statistics,Energy,,,6149838884,6149826557.2512,6149826000
2.A,Statistics,Root mean square,,,221.5969647,221.5967,221.59673339261
2.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256
2.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802
2.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,-46.4078,-46.407887
2.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377
2.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997
2.B,Statistics,Mean,,-49.893,-49.89275738,-49.8929,-49.89299
2.B,Statistics,Variance,,44392.7267,44392.52034,44392.7319,44392.727
2.B,Statistics,Skewness,,-2.1286,-2.128618219,-2.1286,-2.12861413987223
2.B,Statistics,(Excess) kurtosis,,3.586,3.586284605,3.5863,3.58625547768484
2.B,Statistics,Median,,37.336,37.336,37.336,37.336
2.B,Statistics,Minimum,,-906.176,-905.832,-906.176,-906.176
2.B,Statistics,10th percentile,,-389.315,-389.32,-389.3224,-389.31520690918
2.B,Statistics,90th percentile,,77.248,77.248,77.248,77.2480010986328
2.B,Statistics,Maximum,,316.312,316.312,316.312,316.312
2.B,Statistics,Interquartile range,,92.584,92.584,92.584,92.5839977264404
2.B,Statistics,Range,,1222.488,1222.144,1222.488,1222.488
2.B,Statistics,Mean absolute deviation,,149.342,149.3417257,149.342,149.342
2.B,Statistics,Robust mean absolute deviation,,68.1332,68.13491604,68.1348,68.13209
2.B,Statistics,Median absolute deviation,,113.811,113.8106817,113.8109,113.810875
2.B,Statistics,Coefficient of variation,,-4.223,-4.222964152,-4.223,-4.2229543
2.B,Statistics,Quartile coefficient of dispersion,,2.973,2.972771641,2.9728,2.97277165433898
2.B,Statistics,Energy,,16774486663.150084,16774404516,16774486988.6725,16774488000
2.B,Statistics,Root mean square,,216.5226,216.5220718,216.5226,216.522611022902
3.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256
3.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238
3.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.9756,-46.97564
3.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377
3.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000
3.A,Statistics,Mean,,,-2.440828532,-2.4409,-2.42342669122262
3.A,Statistics,Variance,,,555.6834357,555.6829,555.694304062625
3.A,Statistics,Skewness,,,0.295290381,0.2953,0.302421044303604
3.A,Statistics,(Excess) kurtosis,,,7.016054432,7.0161,7.01647959269611
3.A,Statistics,Median,,,-0.584889991,-0.58489,-0.594275906588928
3.A,Statistics,Minimum,,,-178.050192,-178.0502,-177.931402545937
3.A,Statistics,10th percentile,,,-27.1028018,-27.102,-27.0456084623803
3.A,Statistics,90th percentile,,,13.23564633,13.2345,13.3378009367678
3.A,Statistics,Maximum,,,190.6672801,190.6673,190.725970944352
3.A,Statistics,Interquartile range,,,8.744062977,8.7437,8.73834168899636
3.A,Statistics,Range,,,368.7174721,368.7175,368.657373490289
3.A,Statistics,Mean absolute deviation,,,13.15075255,13.1507,13.1442765559711
3.A,Statistics,Robust mean absolute deviation,,,4.977163305,4.9768,4.97081263861283
3.A,Statistics,Median absolute deviation,,,12.9032334,12.9032,12.9032020548582
3.A,Statistics,Coefficient of variation,,,-9.657761011,-9.6576,-9.72720538297709
3.A,Statistics,Quartile coefficient of dispersion,,,-2.931071783,-2.9306,-2.92209970182417
3.A,Statistics,Energy,,,70338805.53,70338761.7462,70329565.6414301
3.A,Statistics,Root mean square,,,23.6989679,23.699,23.6974112719165
3.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256
3.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802
3.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,-46.4078,-46.407887
3.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377
3.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997
3.B,Statistics,Mean,,-2.9423,-2.941989768,-2.9424,-2.9240308
3.B,Statistics,Variance,,719.658,719.6785509,719.7031,719.82465
3.B,Statistics,Skewness,,0.422,0.422253989,0.42212,0.428117324325902
3.B,Statistics,(Excess) kurtosis,,6.133,6.133237964,6.1333,6.13288147363948
3.B,Statistics,Median,,-0.9193,-0.919226962,-0.9193,-0.926867
3.B,Statistics,Minimum,,-172.902,-172.9069655,-172.907,-172.77899
3.B,Statistics,10th percentile,,-32.1556,-32.15648319,-32.1572,-32.1093559265137
3.B,Statistics,90th percentile,,17.3904,17.39181793,17.3913,17.4894605636597
3.B,Statistics,Maximum,,204.2926,204.2998042,204.2998,204.30116
3.B,Statistics,Interquartile range,,11.4456,11.44599886,11.4459,11.4281669855118
3.B,Statistics,Range,,377.195,377.2067697,377.2068,377.08014
3.B,Statistics,Mean absolute deviation,,15.496,15.49636859,15.4966,15.491051
3.B,Statistics,Robust mean absolute deviation,,6.368,6.368737664,6.3688,6.3618975
3.B,Statistics,Median absolute deviation,,15.26,15.26049334,15.2607,15.2609825
3.B,Statistics,Coefficient of variation,,-9.1175,-9.118599087,-9.1175,-9.175535
3.B,Statistics,Quartile coefficient of dispersion,,-2.3389,-2.338985284,-2.3389,-2.33637922927698
3.B,Statistics,Energy,,260592643.844,260599309.9,260608959.4237,260613900
3.B,Statistics,Root mean square,,26.9873,26.98766116,26.9882,26.9884168294281
4.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256
4.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238
4.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.9756,-46.97564
4.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377
4.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000
4.A,Statistics,Mean,,,148.2584965,148.258,148.258
4.A,Statistics,Variance,,,17953.85665,17953.6433,17953.643
4.A,Statistics,Skewness,,,0.877056194,0.87706,0.877055115544125
4.A,Statistics,(Excess) kurtosis,,,-0.278790332,-0.27877,-0.278771453450202
4.A,Statistics,Median,,,88.71640905,88.7164,88.71641
4.A,Statistics,Minimum,,,15.45202758,15.452,15.452027
4.A,Statistics,10th percentile,,,26.8768017,26.877,26.8771549224854
4.A,Statistics,90th percentile,,,346.9715542,346.961,346.959921264649
4.A,Statistics,Maximum,,,672.2096473,672.2096,672.20966
4.A,Statistics,Interquartile range,,,219.2627343,219.2627,219.260135650635
4.A,Statistics,Range,,,656.7576197,656.7576,656.7576
4.A,Statistics,Mean absolute deviation,,,116.0731378,116.0725,116.07253
4.A,Statistics,Robust mean absolute deviation,,,92.89377982,92.892,92.89201
4.A,Statistics,Median absolute deviation,,,110.7338835,110.7334,110.73338
4.A,Statistics,Coefficient of variation,,,0.903772838,0.90377,0.90377057
4.A,Statistics,Quartile coefficient of dispersion,,,0.77304736,0.77305,0.773045275169196
4.A,Statistics,Energy,,,5001309200,5001263503.7244,5001263600
4.A,Statistics,Root mean square,,,199.8360289,199.8351,199.835118160564
4.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256
4.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802
4.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,-46.4078,-46.407887
4.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377
4.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997
4.B,Statistics,Mean,,141.8281,141.822426,141.8281,141.82814
4.B,Statistics,Variance,,11118.635,11116.99477,11118.6441,11118.636
4.B,Statistics,Skewness,,0.64454,0.644449835,0.64454,0.644541004799495
4.B,Statistics,(Excess) kurtosis,,-0.710682,-0.710924916,-0.71068,-0.710681742104918
4.B,Statistics,Median,,113.14,113.1405898,113.1406,113.14046
4.B,Statistics,Minimum,,28.46269,28.46269247,28.4627,28.462692
4.B,Statistics,10th percentile,,35.57056,35.570524,35.5705,35.5705596923828
4.B,Statistics,90th percentile,,292.624,292.6082612,292.625,292.624209594727
4.B,Statistics,Maximum,,524.803,524.6400168,524.8027,524.80304
4.B,Statistics,Interquartile range,,187.6552,187.6421514,187.6549,187.655222892761
4.B,Statistics,Range,,496.34,496.1773243,496.34,496.34033
4.B,Statistics,Mean absolute deviation,,92.44877,92.44274497,92.4488,92.44878
4.B,Statistics,Robust mean absolute deviation,,75.91987,75.91634238,75.9203,75.91987
4.B,Statistics,Median absolute deviation,,90.8137,90.80811596,90.8137,90.813705
4.B,Statistics,Coefficient of variation,,0.74347,0.743444907,0.74347,0.7434698
4.B,Statistics,Quartile coefficient of dispersion,,0.6992,0.699243129,0.69926,0.699258438182395
4.B,Statistics,Energy,,11175535481.688,11174369460,11175537257.8891,11175536000
4.B,Statistics,Root mean square,,176.731,176.721802,176.731,176.731023091286
5.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
5.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,125238
5.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.97564
5.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
5.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-1000
5.A,Statistics,Mean,,,102.9944702,,102.994231731088
5.A,Statistics,Variance,,,1036.246197,,1036.23174015356
5.A,Statistics,Skewness,,,1.313975412,,1.31400464739952
5.A,Statistics,(Excess) kurtosis,,,2.841486784,,2.8416678233973
5.A,Statistics,Median,,,97.03680815,,97.0373250044177
5.A,Statistics,Minimum,,,31.37248216,,31.3723690777723
5.A,Statistics,10th percentile,,,68.80185376,,68.8033936596751
5.A,Statistics,90th percentile,,,144.5666157,,144.564992377068
5.A,Statistics,Maximum,,,353.6986176,,353.698943330929
5.A,Statistics,Interquartile range,,,37.18099448,,37.178733933154
5.A,Statistics,Range,,,322.3261355,,322.326574253157
5.A,Statistics,Mean absolute deviation,,,24.20687257,,24.2065908756777
5.A,Statistics,Robust mean absolute deviation,,,15.75845031,,15.7577171374309
5.A,Statistics,Median absolute deviation,,,23.70192599,,23.7016880689493
5.A,Statistics,Coefficient of variation,,,0.312548606,,0.312547149919458
5.A,Statistics,Quartile coefficient of dispersion,,,0.186865607,,0.186855366546931
5.A,Statistics,Energy,,,1458284684,,1458276721.10922
5.A,Statistics,Root mean square,,,107.9078639,,107.907569289789
5.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,,125256
5.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,,357802
5.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,,-46.407887
5.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,,377
5.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,,-997
5.B,Statistics,Mean,,40.2375,40.24493405,,40.2379032214824
5.B,Statistics,Variance,,230.498,230.7142145,,230.521307459199
5.B,Statistics,Skewness,,1.574,1.57413709,,1.57457519044483
5.B,Statistics,(Excess) kurtosis,,4.3346,4.331736313,,4.33728391366245
5.B,Statistics,Median,,37.19,37.1958125,,37.1903341924523
5.B,Statistics,Minimum,,9.5346,9.534713695,,9.53481116734979
5.B,Statistics,10th percentile,,24.628,24.62849016,,24.6280471905411
5.B,Statistics,90th percentile,,59.2853,59.29975581,,59.2871705530865
5.B,Statistics,Maximum,,174.545,174.4218834,,174.545448348438
5.B,Statistics,Interquartile range,,17.3507,17.36024161,,17.351200676222
5.B,Statistics,Range,,165.010667,164.8871697,,165.010637181088
5.B,Statistics,Mean absolute deviation,,11.277,11.28211272,,11.2769775798218
5.B,Statistics,Robust mean absolute deviation,,7.3084,7.312086352,,7.30862857785489
5.B,Statistics,Median absolute deviation,,10.9928,10.99801676,,10.9931716322447
5.B,Statistics,Coefficient of variation,,0.377,0.377420909,,0.377329009285067
5.B,Statistics,Quartile coefficient of dispersion,,0.2255,0.225601112,,0.225520774951137
5.B,Statistics,Energy,,661773541.0115728,662065704.4,,661794215.584871
5.B,Statistics,Root mean square,,43.00642,43.01591486,,43.007094334779
6.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256
6.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238
6.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.9756,-46.97564
6.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377
6.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000
6.A,Statistics,Mean,,,-0.185343074,-0.18505,-0.18504779
6.A,Statistics,Variance,,,427.2981837,427.2793,427.2793
6.A,Statistics,Skewness,,,0.083617313,0.083694,0.0836939768380343
6.A,Statistics,(Excess) kurtosis,,,7.721159968,7.7218,7.72181806721068
6.A,Statistics,Median,,,0.045594447,0.045594,0.045594454
6.A,Statistics,Minimum,,,-245.1464023,-245.1464,-245.1464
6.A,Statistics,10th percentile,,,-18.8453308,-18.8451,-18.8450517654419
6.A,Statistics,90th percentile,,,17.71751361,17.7175,17.7174289703369
6.A,Statistics,Maximum,,,201.6357755,201.6358,201.63577
6.A,Statistics,Interquartile range,,,15.77069163,15.7707,15.7703542709351
6.A,Statistics,Range,,,446.7821778,446.7822,446.78217
6.A,Statistics,Mean absolute deviation,,,13.03043543,13.0301,13.030135
6.A,Statistics,Robust mean absolute deviation,,,6.81546124,6.8152,6.8151793
6.A,Statistics,Median absolute deviation,,,13.02854647,13.0283,13.028252
6.A,Statistics,Coefficient of variation,,,-111.5293479,-111.7049,-111.70484
6.A,Statistics,Quartile coefficient of dispersion,,,491.1042602,491.1043,490.975260349013
6.A,Statistics,Energy,,,53518272.11,53515894.2896,53515892
6.A,Statistics,Root mean square,,,20.67202302,20.6716,20.6715633428366
6.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256
6.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802
6.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,-46.4078,-46.407887
6.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377
6.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997
6.B,Statistics,Mean,,-0.182,-0.182103753,-0.18203,-0.18203402
6.B,Statistics,Variance,,250.441,250.4418451,250.4417,250.44107
6.B,Statistics,Skewness,,0.15687,0.156586008,0.15687,0.156871078654632
6.B,Statistics,(Excess) kurtosis,,8.98139,8.98187515,8.9814,8.98139703906639
6.B,Statistics,Median,,0.0575,0.057541837,0.05756,0.057540063
6.B,Statistics,Minimum,,-147.52369,-147.5236919,-147.5237,-147.5237
6.B,Statistics,10th percentile,,-13.781,-13.78133463,-13.7818,-13.7812477111816
6.B,Statistics,90th percentile,,12.1499,12.15004107,12.1497,12.149946975708
6.B,Statistics,Maximum,,155.005,155.004999,155.005,155.005
6.B,Statistics,Interquartile range,,9.3487,9.349108501,9.3491,9.34877157211304
6.B,Statistics,Range,,302.529,302.5286909,302.5287,302.5287
6.B,Statistics,Mean absolute deviation,,9.25779,9.25785231,9.2578,9.25779
6.B,Statistics,Robust mean absolute deviation,,4.2125,4.212607708,4.2126,4.2125316
6.B,Statistics,Median absolute deviation,,9.25427,9.254337935,9.2543,9.254276
6.B,Statistics,Coefficient of variation,,-86.9361,-86.90295658,-86.936,-86.93611
6.B,Statistics,Quartile coefficient of dispersion,,-162.7282,-161.5585252,-161.8128,-162.730702191235
6.B,Statistics,Energy,,89620170.21979544,89620458.4,89620394.7781,89620184
6.B,Statistics,Root mean square,,15.82637676,15.82640221,15.8264,15.8263779792712
7.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
7.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,125238
7.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.97564
7.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
7.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-1000
7.A,Statistics,Mean,,,0.174377924,,0.24465297
7.A,Statistics,Variance,,,246.9926787,,1906.8704
7.A,Statistics,Skewness,,,0.105112695,,0.0469152639452696
7.A,Statistics,(Excess) kurtosis,,,5.848473808,,6.21555266962603
7.A,Statistics,Median,,,0.039574957,,0.06753935
7.A,Statistics,Minimum,,,-116.4759919,,-348.83694
7.A,Statistics,10th percentile,,,-15.03753152,,-39.6251384735107
7.A,Statistics,90th percentile,,,15.15153099,,40.5180156707764
7.A,Statistics,Maximum,,,126.4765931,,352.2799
7.A,Statistics,Interquartile range,,,7.938248595,,28.7629585266113
7.A,Statistics,Range,,,242.952585,,701.1168
7.A,Statistics,Mean absolute deviation,,,9.304172515,,26.945671
7.A,Statistics,Robust mean absolute deviation,,,4.054858848,,13.036761
7.A,Statistics,Median absolute deviation,,,9.302748988,,26.945065
7.A,Statistics,Coefficient of variation,,,90.12609146,,178.48845
7.A,Statistics,Quartile coefficient of dispersion,,,38.68599888,,104.491982982026
7.A,Statistics,Energy,,,30936677.29,,238820130
7.A,Statistics,Root mean square,,,15.7169681,,43.6684122546754
7.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,,125256
7.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,,357802
7.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,,-46.407887
7.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,,377
7.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,,-997
7.B,Statistics,Mean,,-0.0406,-0.030289699,,-0.0406155
7.B,Statistics,Variance,,422.433,22.84770264,,422.43344
7.B,Statistics,Skewness,,-0.0111,-0.076109936,,-0.0111719419359682
7.B,Statistics,(Excess) kurtosis,,5.452,6.494567117,,5.45215514672445
7.B,Statistics,Median,,-0.0163,-0.007843945,,-0.016351826
7.B,Statistics,Minimum,,-202.8246,-52.04991577,,-202.82463
7.B,Statistics,10th percentile,,-20.56438,-4.779446978,,-20.5643877029419
7.B,Statistics,90th percentile,,20.4447,4.688948543,,20.4447439193726
7.B,Statistics,Maximum,,200.7775,52.59481458,,200.77757
7.B,Statistics,Interquartile range,,16.28886,3.12647799,,16.2888839244843
7.B,Statistics,Range,,403.602,104.6447303,,403.6022
7.B,Statistics,Mean absolute deviation,,13.44597,2.98155937,,13.445974
7.B,Statistics,Robust mean absolute deviation,,7.2027,1.468805495,,7.2027335
7.B,Statistics,Median absolute deviation,,13.4459,2.981460641,,13.445952
7.B,Statistics,Coefficient of variation,,-506.04287,-157.8070156,,-506.04294
7.B,Statistics,Quartile coefficient of dispersion,,-694.91897,-115.0011124,,-694.194407470254
7.B,Statistics,Energy,,151148125.3503133,8175281.972,,151148110
7.B,Statistics,Root mean square,,20.553,4.780023024,,20.5532252320538
8.A,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
8.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,125238
8.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.97564
8.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
8.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-1000
8.A,Statistics,Mean,,,0.244263203,,0.247614409603721
8.A,Statistics,Variance,,,1543.560978,,1547.16580688109
8.A,Statistics,Skewness,,,-0.048498271,,-0.047334319969585
8.A,Statistics,(Excess) kurtosis,,,8.184545315,,8.18927400503676
8.A,Statistics,Median,,,-0.027011083,,-0.0322713750129835
8.A,Statistics,Minimum,,,-395.2473973,,-395.438766357496
8.A,Statistics,10th percentile,,,-33.43242732,,-33.5269979200332
8.A,Statistics,90th percentile,,,34.28378905,,34.3634329750859
8.A,Statistics,Maximum,,,407.0509997,,407.954523875239
8.A,Statistics,Interquartile range,,,24.86185425,,24.8221007440942
8.A,Statistics,Range,,,802.2983969,,803.393290232735
8.A,Statistics,Mean absolute deviation,,,23.56070992,,23.576409560815
8.A,Statistics,Robust mean absolute deviation,,,11.13574439,,11.1308737938256
8.A,Statistics,Median absolute deviation,,,23.5589017,,23.5745295620895
8.A,Statistics,Coefficient of variation,,,160.8436234,,158.851937071633
8.A,Statistics,Quartile coefficient of dispersion,,,-413.3582263,,-426.567386318445
8.A,Statistics,Energy,,,193319962.1,,193771630.026623
8.A,Statistics,Root mean square,,,39.28893792,,39.3348079921198
8.B,Diagnostic,Number of voxels in ROI before interpolation,,,,,125256
8.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,,357802
8.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-46.407887
8.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,,377
8.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,,-997
8.B,Statistics,Mean,,,0.310208511,,0.320233251193446
8.B,Statistics,Variance,,,1789.317093,,1810.02087904295
8.B,Statistics,Skewness,,,-0.073593853,,-0.0719095855292795
8.B,Statistics,(Excess) kurtosis,,,7.651541017,,7.64455025312084
8.B,Statistics,Median,,,-0.010574403,,-0.00178756160441118
8.B,Statistics,Minimum,,,-409.5906044,,-411.430645164131
8.B,Statistics,10th percentile,,,-36.3746384,,-36.6013691914269
8.B,Statistics,90th percentile,,,37.93470505,,38.1414823138026
8.B,Statistics,Maximum,,,372.9549774,,373.512073651897
8.B,Statistics,Interquartile range,,,25.44789463,,25.4697791553223
8.B,Statistics,Range,,,782.5455818,,784.942718816028
8.B,Statistics,Mean absolute deviation,,,25.21523447,,25.3376678485689
8.B,Statistics,Robust mean absolute deviation,,,11.64935428,,11.6801634926746
